word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
melszpajz	-	+	2	jz	ea	a		"legumina parzona z mąki, mleka i jaj"	
melszpejz	-	+	2	jz	ee	e		"legumina parzona z mąki, mleka i jaj"	
melton	-	+	2	n	eo	o		"gruba tkanina wełniana z krótkim włosem"	артефакт
mem	-	+	1	m	e	e		"chwytliwa porcja informacji, zwykle w formie krótkiego filmu, obrazka lub zdjęcia, na którym umieszczono jakiś tekst, rozpowszechniana w Internecie"	
membranofon	-	+	4	n	eaoo	o		"instrument muzyczny, w którym źródłem dźwięku jest drgająca membrana"	артефакт
memistor	+	-	3	r	eio	o		NOT FOUND	
memoar	-	+	3	r	eoa	a		NOT FOUND	
memorialik	-	+	5	k	eoiai	i		NOT FOUND	
memoriał	-	+	4	ł	eoia	a		"pismo skierowane do władz, zawierające prośby lub uwagi w ważnych dla ogółu sprawach"	
memuar	-	+	3	r	eua	a		NOT FOUND	
menachinon	-	+	4	n	eaio	o		NOT FOUND	
menadżeryzm	-	+	4	zm	eaey	y	yzm	"system kierowania przedsiębiorstwem przez menedżerów"	
menaion	-	+	4	n	eaio	o		"w Kościele wschodnim: księga liturgiczna zawierająca wybór tekstów i porządek nabożeństw dla świąt"	артефакт
menar	-	+	2	r	ea	a		NOT FOUND	
menat	-	+	2	t	ea	a		NOT FOUND	
menaż	-	+	2	ż	ea	a		"kuchnia lub stołówka wojskowa"	
mendel	+	-	2	l	ee	e		"piętnaście sztuk czegoś"	
mendelek	+	-	3	k	eee	e	ek	NOT FOUND	
mendelew	-	+	3	w	eee	e		"promieniotwórczy pierwiastek chemiczny"	
mendelizm	-	+	3	zm	eei	i	izm	"teoria genetyczna w biologii, przyjmująca, że czynniki dziedziczne w procesie rozmnażania osobników nie ulegają zmianie, lecz rozdzielają się i łączą ze sobą, tworząc różne kombinacje cech"	абстрактное понятие
menedżeryzm	-	+	4	zm	eeey	y	yzm	"system kierowania przedsiębiorstwem przez menedżerów"	
menedżment	-	+	3	nt	eee	e		NOT FOUND	
menhir	-	+	2	r	ei	i		"podłużny blok kamienny ustawiony pionowo na ziemi, mający charakter kultowy, pochodzący głównie z okresu neolitu"	
menilit	-	+	3	t	eii	i		"ciemnobrunatna odmiana opalu"	
menisk	-	+	2	sk	ei	i		"wypukłe lub wklęsłe zakrzywienie powierzchni cieczy w pobliżu ścianek naczynia"	
menologion	-	+	5	n	eooio	o		"w liturgii greckiej: księga zawierająca żywoty świętych ułożone w porządku poświęconych im dni"	артефакт
menos	-	+	2	s	eo	o		"stan umysłu prowadzący człowieka do sukcesu"	
mentanol	-	+	3	l	eao	o		NOT FOUND	
mentlik	+	-	2	k	ei	i		NOT FOUND	
mentol	-	+	2	l	eo	o		"związek organiczny występujący w olejku miętowym"	
menton	-	+	2	n	eo	o		NOT FOUND	
mentor	-	+	2	r	eo	o		"doświadczony, mądry doradca, nauczyciel i wychowawca"	
mentyk	+	-	2	k	ey	y		"szamerowany, krótki płaszcz wojskowy, noszony w XVI–XVIII w. przez Węgrów, Słowaków i Polaków"	
menuecik	+	-	4	k	euei	i		NOT FOUND	
menwecik	+	-	3	k	eei	i		NOT FOUND	
menwet	+	-	2	t	ee	e		NOT FOUND	
meprobamat	-	+	4	t	eoaa	a		NOT FOUND	
mer	-	+	1	r	e	e		"ostatni człon wyrazów złożonych wskazujący na ich związek znaczeniowy z częścią składową czegoś"	
merchandising	-	+	4	ng	eaii	i		"taktyka i działania mające na celu sprzedaż towarów lub usług"	
meridian	-	+	4	n	eiia	a		NOT FOUND	
merkantylizm	-	+	4	zm	eayi	i	izm	"doktryna i polityka ekonomiczna dominująca w Europie Zachodniej w XVI i XVII w., według której zamożność kraju zależy głównie od ilości nagromadzonego kruszcu"	абстрактное понятие
merkaptan	-	+	3	n	eaa	a		NOT FOUND	
merkaptyd	-	+	3	d	eay	y		NOT FOUND	
merkuriusz	+	+	4	sz	euiu	u	iusz	"rtęć"	
merlot	+	-	2	t	eo	o		NOT FOUND	
merofit	-	+	3	t	eoi	i		NOT FOUND	
meroksen	-	+	3	n	eoe	e		NOT FOUND	
meroplankton	-	+	4	n	eoao	o		NOT FOUND	
merwinit	-	+	3	t	eii	i		NOT FOUND	
merydian	-	+	4	n	eyia	a		NOT FOUND	
merystem	-	+	3	m	eye	e		"tkanka roślinna zbudowana ze zdolnych do podziałów mitotycznych komórek, zapoczątkowujących tkanki stałe"	
meryt	-	+	2	t	ey	y	yt	NOT FOUND	
merzyk	+	-	2	k	ey	y	zyk	"mech leśny lub łąkowy"	
mesaż	-	+	2	ż	ea	a		NOT FOUND	
mescal	-	+	2	l	ea	a		"meksykański napój alkoholowy otrzymywany z liści agawy"	
mesel	+	-	2	l	ee	e		"stalowe narzędzie używane do przecinania blachy, prętów itp."	артефакт
mesendżer	+	-	3	r	eee	e	er	NOT FOUND	
mesjanizm	-	+	3	zm	eai	i	izm	"pogląd religijno-społeczny, głoszący wiarę w nadejście Mesjasza, który przywróci narodom wolność i zbawi ludzkość"	
meskal	-	+	2	l	ea	a		"meksykański napój alkoholowy otrzymywany z liści agawy"	
mesmeryzm	-	+	3	zm	eey	y	yzm	"osiemnastowieczny pogląd, uznający istnienie w człowieku uzdrawiających sił magnetycznych przekazywanych przez dotyk lub z pewnej odległości; też: taka metoda leczenia"	
messel	+	-	2	l	ee	e		"stalowe narzędzie używane do przecinania blachy, prętów itp."	артефакт
messidor	+	-	3	r	eio	o		"dziesiąty miesiąc roku we francuskim kalendarzu rewolucyjnym"	месяц
mesz	-	+	1	sz	e	e		"dietetyczna pasza dla koni"	
meszek	-	+	2	k	ee	e	ek	"delikatne, gęste, krótkie włoski na skórze, tkaninie, liściach lub owocach"	
meszt	+	-	1	szt	e	e		"miękki, lekki pantofel"	артефакт
metabolit	-	+	4	t	eaoi	i		"związek chemiczny powstający w organizmie w wyniku przemiany materii"	вещество
metabolizm	-	+	4	zm	eaoi	i	izm	NOT FOUND	
metadienon	-	+	5	n	eaieo	o		NOT FOUND	
metadon	-	+	3	n	eao	o		"lek przeciwbólowy o właściwościach zbliżonych do morfiny"	
metafloem	-	+	4	m	eaoe	e		NOT FOUND	
metaformaldehyd	-	+	6	d	eaoaey	y		NOT FOUND	
metaforyzm	-	+	4	zm	eaoy	y	yzm	NOT FOUND	
metafosforan	-	+	5	n	eaooa	a		NOT FOUND	
metagram	-	+	3	m	eaa	a		"gra słów polegająca na wymianie początkowych głosek lub sylab między wyrazami"	
metajęzyk	+	-	4	k	eaęy	y		"język służący do opisu i analizy innego języka"	
metakomputer	+	-	5	r	eaoue	e	er	NOT FOUND	
metakrylan	-	+	4	n	eaya	a		NOT FOUND	
metakrzemian	-	+	5	n	eaeia	a		NOT FOUND	
metaksylem	-	+	4	m	eaye	e		NOT FOUND	
metal	-	+	2	l	ea	a		"styl w muzyce heavymetalowej z widocznymi wpływami muzyki punk"	
metaldehyd	-	+	4	d	eaey	y		"produkt polimeryzacji aldehydu octowego, stosowany w postaci białych kostek jako paliwo"	
metalic	+	+	3	c	eai	i		"lakier o metalicznym połysku, też: samochód pomalowany takim lakierem"	
metalik	+	+	3	k	eai	i	ik	"lakier o metalicznym połysku, też: samochód pomalowany takim lakierem"	
metalimnion	-	+	5	n	eaiio	o		NOT FOUND	
metalizm	-	+	3	zm	eai	i	izm	NOT FOUND	
metallic	+	+	3	c	eai	i		NOT FOUND	
metalocen	-	+	4	n	eaoe	e		NOT FOUND	
metalofon	-	+	4	n	eaoo	o		"instrument muzyczny w postaci metalowych płyt, półkul, prętów albo rur"	артефакт
metaloid	-	+	4	d	eaoi	i	oid	NOT FOUND	
metaloproteid	-	+	6	d	eaooei	i		NOT FOUND	
metaloryt	-	+	4	t	eaoy	y		"każda technika graficzna, w której rysunek rytuje się ostrymi narzędziami na płycie metalowej, służącej potem do robienia odbitek na papierze; też: odbitka wykonana tą techniką"	
metalowskaźnik	+	-	5	k	eaoai	i		NOT FOUND	
metamagnetyk	-	+	5	k	eaaey	y		NOT FOUND	
metamer	-	+	3	r	eae	e	er	"każdy z podobnie zbudowanych, powtarzających się odcinków ciała zwierzęcego"	
metamorfizm	-	+	4	zm	eaoi	i	izm	"proces przeobrażenia się skał zachodzący w głębszych warstwach skorupy ziemskiej"	
metan	-	+	2	n	ea	a		"bezbarwny gaz palny tworzący z tlenem mieszaniny wybuchowe"	вещество
metanabol	-	+	4	l	eaao	o		"anaboliczny lek powodujący przyrost masy ciała"	
metanal	-	+	3	l	eaa	a	al	NOT FOUND	
metandienon	-	+	5	n	eaieo	o		NOT FOUND	
metanian	-	+	4	n	eaia	a	ian	NOT FOUND	
metanit	-	+	3	t	eai	i	it	"kruszący materiał wybuchowy"	материал
metanoamid	-	+	5	d	eaoai	i		NOT FOUND	
metanol	-	+	3	l	eao	o	ol	"bezbarwna ciecz o charakterystycznym zapachu i piekącym smaku, trująca, łatwo palna, używana m.in. jako paliwo i rozpuszczalnik"	вещество
metanometr	-	+	4	tr	eaoe	e		NOT FOUND	
metanomierz	+	-	5	rz	eaoie	e		"przyrząd do badania zawartości metanu w powietrzu"	артефакт
metaplazm	-	+	3	zm	eaa	a		NOT FOUND	
metapleks	-	+	3	ks	eae	e		NOT FOUND	
metaplik	-	+	3	k	eai	i		NOT FOUND	
metaskop	-	+	3	p	eao	o		"urządzenie do wykrywania źródeł promieniowania podczerwonego"	артефакт
metatekst	-	+	3	kst	eae	e		"tekst traktujący o innym tekście"	
meteor	-	+	3	r	eeo	o		"świetlny ślad znaczący na niebie drogę meteoroidu wpadającego do atmosfery ziemskiej, sprawiający wrażenie spadającej gwiazdy"	
meteorograf	-	+	5	f	eeooa	a		"przyrząd rejestrujący jednocześnie ciśnienie, temperaturę i wilgotność powietrza"	артефакт
meteorogram	-	+	5	m	eeooa	a		"zapis wykonany za pomocą meteorografu"	
meteoroid	-	+	5	d	eeooi	i	oid	"bryła kamienna lub metaliczna poruszająca się w przestrzeni kosmicznej"	
meteorolit	-	+	5	t	eeooi	i		NOT FOUND	
meteoroskop	-	+	5	p	eeooo	o		NOT FOUND	
meteoryt	-	+	4	t	eeoy	y	yt	"część meteoroidu, która nie spaliła się po wejściu do atmosfery ziemskiej i spadła na powierzchnię Ziemi"	часть предмета
meteoryzm	-	+	4	zm	eeoy	y	yzm	"wzdęcie brzucha wskutek nagromadzenia się gazów w jelitach"	
metindol	-	+	3	l	eio	o		NOT FOUND	
metkal	-	+	2	l	ea	a		"rzadkie płótno bawełniane bez apretury"	
metodyzm	-	+	3	zm	eoy	y	yzm	"ścisłe stosowanie się do określonej metody"	
metoksyl	-	+	3	l	eoy	y		NOT FOUND	
metol	-	+	2	l	eo	o		"bezbarwny lub szarawy proszek stosowany jako wywoływacz w fotografii"	
metr	+	-	1	tr	e	e		"ostatni człon wyrazów złożonych wskazujący na ich związek znaczeniowy z miarą lub mierzeniem"	
metraż	-	+	2	ż	ea	a	aż	"długość wyrażona w metrach bieżących, powierzchnia – w metrach kwadratowych, kubatura – w metrach sześciennych"	
metrokilogram	+	-	5	m	eoioa	a		NOT FOUND	
metromierz	+	-	4	rz	eoie	e		"przyrząd służący do mierzenia długości taśmy filmowej podczas jej przewijania"	артефакт
metron	-	+	2	n	eo	o	on	"przyrząd zegarowy służący do odmierzania tempa utworu muzycznego"	артефакт
metronom	-	+	3	m	eoo	o		"przyrząd zegarowy służący do odmierzania tempa utworu muzycznego"	артефакт
metroseksualizm	-	+	6	zm	eoeuai	i	izm	NOT FOUND	
metyl	-	+	2	l	ey	y		"jednowartościowa grupa organiczna wywodząca się z metanu"	
metylan	-	+	3	n	eya	a	an	NOT FOUND	
metylen	-	+	3	n	eye	e	en	"dwuwartościowa grupa organiczna wywodząca się z metanu"	
metylobenzen	-	+	5	n	eyoee	e		NOT FOUND	
metylobenzenol	-	+	6	l	eyoeeo	o		NOT FOUND	
metylobenzol	-	+	5	l	eyoeo	o		NOT FOUND	
metylobutadien	-	+	7	n	eyouaie	e		NOT FOUND	
metylofenol	-	+	5	l	eyoeo	o		NOT FOUND	
metylotestosteron	-	+	7	n	eyoeoeo	o		NOT FOUND	
mews	-	+	1	ws	e	e		NOT FOUND	
mezalians	-	+	4	ns	eaia	a		"małżeństwo z osobą nieodpowiednią ze względu na pochodzenie lub majątek"	
mezanin	-	+	3	n	eai	i		NOT FOUND	
mezoagregat	-	+	5	t	eoaea	a		NOT FOUND	
mezoatom	-	+	4	m	eoao	o		NOT FOUND	
mezoblast	-	+	3	st	eoa	a		"środkowa warstwa komórek zarodka człowieka i zwierząt, z której tworzy się tkanka łączna, mięśniowa i nabłonkowa"	
mezocykl	-	+	3	kl	eoy	y		NOT FOUND	
mezofil	-	+	3	l	eoi	i		"tkanka występująca w liściu pod skórką, zawierająca dużą ilość chloroplastów"	
mezofit	-	+	3	t	eoi	i		"roślina lądowa rosnąca w środowisku umiarkowanie wilgotnym"	растение
mezognatyzm	-	+	4	zm	eoay	y	yzm	"niewielkie wysunięcie ku przodowi części twarzowej czaszki"	
mezoklimat	-	+	4	t	eoia	a		"klimat charakterystyczny dla małego obszaru"	
mezolit	-	+	3	t	eoi	i		"środkowy okres epoki kamienia"	
mezon	-	+	2	n	eo	o		"nietrwała cząstka elementarna powstająca w reakcjach jądrowych o dużych energiach"	
mezonin	-	+	3	n	eoi	i	in	NOT FOUND	
mezoplankton	-	+	4	n	eoao	o		"średniej wielkości organizmy planktonu"	
mezoregion	-	+	5	n	eoeio	o		NOT FOUND	
mezoskaf	-	+	3	f	eoa	a		NOT FOUND	
mezosom	-	+	3	m	eoo	o		NOT FOUND	
mezostych	-	+	3	ch	eoy	y		"utwór wierszowany, w którym środkowe litery w kolejnych wersach składają się na słowo lub zdanie"	
mezosyderyt	-	+	5	t	eoyey	y		NOT FOUND	
mezotor	-	+	3	r	eoo	o		"promieniotwórczy izotop radu lub aktynu"	
mezotrof	-	+	3	f	eoo	o		NOT FOUND	
mezotrofit	-	+	4	t	eooi	i	it	NOT FOUND	
mezotron	-	+	3	n	eoo	o		NOT FOUND	
mezozoik	-	+	4	k	eooi	i		NOT FOUND	
mezytylen	-	+	4	n	eyye	e		NOT FOUND	
mezzosopran	-	+	4	n	eooa	a		"głos kobiecy o skali pośredniej między sopranem i altem"	
mełnik	-	+	2	k	ei	i		"mocne czerwone wino wyrabiane w Bułgarii"	
mianownik	+	-	4	k	iaoi	i		"pierwszy przypadek deklinacji, odpowiadający na pytania: kto? co?; też: forma wyrazowa tego przypadka"	
miarkownik	+	-	4	k	iaoi	i		"przyrząd ujednostajniający lub regulujący działanie jakiejś maszyny albo urządzenia"	артефакт
miauk	-	+	3	k	iau	u		"dźwięk wydawany przez kota"	
miazgociąg	-	+	5	g	iaoią	ą		NOT FOUND	
miazmat	-	+	3	t	iaa	a		"demoralizujące lub destrukcyjne czynniki"	
miał	-	+	2	ł	ia	a		"drobno pokruszona lub roztarta substancja"	вещество
miczurinizm	-	+	4	zm	iuii	i	izm	"kierunek w naukach biologicznych oparty na tezie dziedziczenia cech nabytych pod wpływem szczepienia roślin lub czynników środowiskowych"	абстрактное понятие
midrasz	+	-	2	sz	ia	a		"w judaizmie: metoda interpretacji i komentowania tekstów biblijnych poprzez odszukiwanie ich sensu przenośnego"	
miech	+	-	2	ch	ie	e		"przyrząd do tłoczenia powietrza w różnego rodzaju urządzeniach i w niektórych instrumentach muzycznych"	артефакт
miecz	+	-	2	cz	ie	e		"broń sieczna o długiej, prostej, obosiecznej głowni"	артефакт
mieczogon	+	-	4	n	ieoo	o		"stawonóg morski o ciele okrytym tarczą zakończoną kolcem"	
mieczyk	+	-	3	k	iey	y	yk	"mały miecz"	артефакт
miednicomierz	+	-	6	rz	ieioie	e		NOT FOUND	
miednik	+	-	3	k	iei	i		NOT FOUND	
miedziaczek	+	-	5	k	ieiae	e	ek	NOT FOUND	
miedzian	-	+	4	n	ieia	a		"zawierający miedź lub zrobiony z miedzi"	артефакт
miedziankit	-	+	5	t	ieiai	i		NOT FOUND	
miedzionikiel	-	+	7	l	ieioiie	e	iel	"łatwo kowalny stop miedzi z niklem"	
miedzioryt	-	+	5	t	ieioy	y		"technika druku wklęsłego, polegająca na ryciu rysunku na płycie miedzianej, wypełnieniu go farbą i odbiciu na papierze; też: odbitka wykonana tą techniką"	
miedziowiec	+	-	6	c	ieioie	e	iec	"każdy pierwiastek należący do jedenastej grupy układu okresowego pierwiastków"	
miejscokilometr	+	-	6	tr	ieoioe	e		NOT FOUND	
miejscownik	+	-	4	k	ieoi	i		"szósty przypadek deklinacji, odpowiadający na pytania: w kim? w czym? o kim? o czym?; też: forma wyrazowa tego przypadka"	
mielcuch	+	-	3	ch	ieu	u		NOT FOUND	
mielec	+	-	3	c	iee	e		"tylna część żołądka ptaków"	часть предмета
mielerz	+	-	3	rz	iee	e		"stos polan przykrytych ziemią i chrustem, z których dawniej wypalano węgiel drzewny"	
mieloblast	-	+	4	st	ieoa	a		NOT FOUND	
mielocyt	-	+	4	t	ieoy	y		NOT FOUND	
mielogram	-	+	4	m	ieoa	a		NOT FOUND	
mienszewizm	-	+	4	zm	ieei	i	izm	"kierunek w socjaldemokracji rosyjskiej, powstały po rozłamie w 1903 r., reprezentowany przez przeciwników leninowskiej koncepcji partii robotniczej"	абстрактное понятие
miernik	+	-	3	k	iei	i		"miara, wskaźnik określający wielkość, jakość lub wartość czegoś"	
miesiąc	+	-	4	c	ieią	ą		"dwunasta część roku obejmująca od 28 do 31 dni"	часть предмета
miesiączek	+	-	5	k	ieiąe	e	zek	NOT FOUND	
miesięcznik	+	-	5	k	ieięi	i		"pismo wychodzące raz w miesiącu; też: egzemplarz tego pisma"	
mieszacz	+	-	3	cz	iea	a		"robotnik zatrudniony przy mieszaniu substancji sypkich lub płynnych"	
mieszak	+	-	3	k	iea	a		"część urządzenia lub narzędzie służące do mieszania jakichś substancji"	часть предмета
mieszalnik	+	-	4	k	ieai	i		"zbiornik, zwykle z mieszadłami, używany do mieszania różnych substancji"	
mieszek	+	-	3	k	iee	e	ek	"mały miech"	артефакт
mietelnik	+	-	4	k	ieei	i		"roślina zielna lub krzewinka o srebrzysto owłosionych, wąskich liściach"	растение
mieńszewizm	-	+	4	zm	ieei	i	izm	NOT FOUND	
mig	-	+	1	g	i	i		"znak porozumiewawczy wykonywany za pomocą gestów lub mimiki"	
migacz	+	-	2	cz	ia	a	acz	"urządzenie sygnalizacyjne dające przerywane światło"	артефакт
migdalik	+	-	3	k	iai	i		NOT FOUND	
migdał	+	-	2	ł	ia	a		"jadalne nasiono migdałowca"	
migdałecznik	+	-	4	k	iaei	i		NOT FOUND	
migdałek	+	-	3	k	iae	e	ek	"jeden z dwóch niewielkich narządów w gardle człowieka, chroniący jego organizm np. przed bakteriami"	
migdałowiec	+	-	5	c	iaoie	e	iec	"drzewo lub krzew o drobnych, skórzastych liściach i owocach z jadalnym nasieniem w środku"	растение
migiel	+	-	3	l	iie	e	iel	"psoty, żarty"	
migielek	+	-	4	k	iiee	e	ek	NOT FOUND	
migmatyt	-	+	3	t	iay	y		"skała utworzona z minerałów o różnym składzie i pochodzeniu"	вещество
mignon	-	+	2	n	io	o		"miły, niewinny grzeszek"	
migot	-	+	2	t	io	o	ot	"drgający lub przerywany blask światła"	
mihrab	-	+	2	b	ia	a		"nisza lub płyta reliefowa w meczecie, wskazująca kierunek, w którym się znajduje Mekka"	абстрактное понятие
mikaleks	-	+	3	ks	iae	e		NOT FOUND	
mikanit	-	+	3	t	iai	i		"materiał izolacyjny z miki i substancji wiążących"	материал
mikot	-	+	2	t	io	o		NOT FOUND	
mikotrofizm	-	+	4	zm	iooi	i	izm	NOT FOUND	
mikowiec	+	-	4	c	ioie	e	iec	NOT FOUND	
mikroamper	+	-	4	r	ioae	e	er	"jednostka natężenia prądu elektrycznego"	единица измерения
mikroamperomierz	+	-	7	rz	ioaeoie	e		NOT FOUND	
mikrobar	+	-	3	r	ioa	a		NOT FOUND	
mikrobus	-	+	3	s	iou	u		"mały autobus dla około dziesięciu osób"	
mikrobusik	+	+	4	k	ioui	i	ik	NOT FOUND	
mikrochip	+	+	3	p	ioi	i		NOT FOUND	
mikrochronometr	-	+	5	tr	ioooe	e		NOT FOUND	
mikrociągnik	+	-	5	k	ioiąi	i		NOT FOUND	
mikrocyt	-	+	3	t	ioy	y		"czerwone ciałko krwi o wymiarach mniejszych niż prawidłowe"	
mikroczujnik	+	-	4	k	ioui	i		NOT FOUND	
mikrodokument	-	+	5	nt	iooue	e		NOT FOUND	
mikrodruk	-	+	3	k	iou	u		"metoda fotograficznego pomniejszania oryginału i drukowania go techniką offsetową; też: reprodukcja wykonana taką metodą"	
mikrodysk	-	+	3	sk	ioy	y		NOT FOUND	
mikroelement	-	+	5	nt	ioeee	e		"pierwiastek chemiczny występujący w bardzo małych ilościach w organizmach żywych"	
mikrofarad	+	-	4	d	ioaa	a		"jednostka pojemności elektrycznej"	единица измерения
mikrofilm	-	+	3	lm	ioi	i		"fotograficzna kopia dokumentu, ilustracji itp., wykonana w dużym zmniejszeniu, odczytywana za pomocą czytnika"	артефакт
mikrofon	-	+	3	n	ioo	o		"urządzenie elektroakustyczne służące do przetwarzania fal dźwiękowych na sygnały elektryczne"	артефакт
mikrofonik	+	-	4	k	iooi	i	ik	NOT FOUND	
mikrofotogram	-	+	5	m	ioooa	a		NOT FOUND	
mikrofotometr	-	+	5	tr	ioooe	e		"przyrząd służący do pomiaru gęstości optycznej substancji"	артефакт
mikroglej	-	+	3	j	ioe	e		NOT FOUND	
mikrogram	+	-	3	m	ioa	a		NOT FOUND	
mikroherc	+	-	3	rc	ioe	e		NOT FOUND	
mikroinfraskop	-	+	5	p	ioiao	o		"urządzenie przetwarzające obraz uzyskany w promieniach podczerwonych na obraz widzialny"	артефакт
mikrointerferometr	-	+	7	tr	ioieeoe	e		NOT FOUND	
mikroklimat	-	+	4	t	ioia	a		"specyficzny klimat występujący na niewielkiej otwartej przestrzeni, w jakimś pomieszczeniu lub w obrębie pewnego środowiska"	
mikroklin	-	+	3	n	ioi	i		"minerał wchodzący w skład głębinowych skał magmowych i metamorficznych"	
mikrokod	-	+	3	d	ioo	o		NOT FOUND	
mikrokomputer	+	-	5	r	iooue	e	er	"komputer przeznaczony dla jednego użytkownika"	артефакт
mikrokontekst	-	+	4	kst	iooe	e		NOT FOUND	
mikrokosmos	-	+	4	s	iooo	o		"w filozofii od Demokryta do XIX w.: świat człowieka w przeciwstawieniu do makrokosmosu – świata ciał niebieskich"	
mikrokredyt	-	+	4	t	ioey	y		NOT FOUND	
mikrokryształ	-	+	4	ł	ioya	a		NOT FOUND	
mikrokryształek	+	-	5	k	ioyae	e	ek	NOT FOUND	
mikroksiężyc	+	-	5	c	ioięy	y		"sztuczny satelita Ziemi"	
mikrolit	-	+	3	t	ioi	i		"małe narzędzie krzemienne typowe dla mezolitu"	артефакт
mikroluks	-	+	3	ks	iou	u		NOT FOUND	
mikromanometr	-	+	5	tr	ioaoe	e		NOT FOUND	
mikromechanizm	-	+	5	zm	ioeai	i	izm	NOT FOUND	
mikromer	-	+	3	r	ioe	e	er	"każda z mniejszych komórek w blastomerze, powstała wskutek nierówności segmentacji jaja"	
mikrometeor	-	+	5	r	ioeeo	o		NOT FOUND	
mikrometeoroid	-	+	7	d	ioeeooi	i	oid	NOT FOUND	
mikrometeoryt	-	+	6	t	ioeeoy	y	yt	NOT FOUND	
mikrometr	+	+	3	tr	ioe	e		"jednostka długości równa jednej tysięcznej milimetra"	единица измерения
mikrometraż	-	+	4	ż	ioea	a	aż	NOT FOUND	
mikromierz	+	-	4	rz	ioie	e		NOT FOUND	
mikromilimetr	+	-	5	tr	ioiie	e		NOT FOUND	
mikromodel	-	+	4	l	iooe	e		"miniaturowy model samolotu, statku itp."	
mikromoduł	-	+	4	ł	ioou	u		"miniaturowy element układu elektronicznego"	часть предмета
mikron	+	-	2	n	io	o		NOT FOUND	
mikronadajnik	+	-	5	k	ioaai	i		NOT FOUND	
mikronawóz	-	+	4	z	ioaó	ó		"nawóz mineralny zawierający mikroelementy"	
mikroobraz	-	+	4	z	iooa	a		NOT FOUND	
mikroom	+	-	3	m	ioo	o		NOT FOUND	
mikroorganizm	-	+	5	zm	iooai	i	izm	"organizm jednokomórkowy"	
mikrootwór	-	+	4	r	iooó	ó		NOT FOUND	
mikropal	+	-	3	l	ioa	a		NOT FOUND	
mikroplankton	-	+	4	n	ioao	o		"mikroorganizmy wchodzące w skład planktonu"	
mikropojazd	-	+	4	zd	iooa	a		NOT FOUND	
mikropokoik	-	+	5	k	ioooi	i		NOT FOUND	
mikroport	-	+	3	rt	ioo	o		"mikrofon bezprzewodowy"	артефакт
mikroporyt	-	+	4	t	iooy	y		"porowaty materiał będący mieszaniną gliny, wapna i szkła wodnego, używany do izolacji cieplnej"	материал
mikroprocesor	+	-	5	r	iooeo	o		"zminiaturyzowany procesor w postaci układu scalonego"	артефакт
mikroprogram	-	+	4	m	iooa	a		"przechowywana w specjalnej pamięci sekwencja rozkazów elementarnych, odpowiadających jednej operacji komputera"	
mikroprzełącznik	+	-	5	k	ioeąi	i		NOT FOUND	
mikroprąd	-	+	3	d	ioą	ą		NOT FOUND	
mikropył	-	+	3	ł	ioy	y		NOT FOUND	
mikroreaktor	+	-	5	r	ioeao	o		NOT FOUND	
mikrorecital	-	+	5	l	ioeia	a		NOT FOUND	
mikroregion	-	+	5	n	ioeio	o		"mały region gospodarczy"	
mikrorejon	-	+	4	n	ioeo	o		"niewielki rejon, zwłaszcza w mieście"	
mikrorelief	-	+	5	f	ioeie	e		NOT FOUND	
mikroreportaż	-	+	5	ż	ioeoa	a		NOT FOUND	
mikrorozkaz	-	+	4	z	iooa	a		NOT FOUND	
mikrosamochód	-	+	5	d	ioaoó	ó		NOT FOUND	
mikrosilnik	+	-	4	k	ioii	i		NOT FOUND	
mikroskalpel	+	-	4	l	ioae	e		NOT FOUND	
mikroskop	-	+	3	p	ioo	o		"przyrząd umożliwiający oglądanie w silnym powiększeniu bardzo małych przedmiotów"	артефакт
mikroskuter	+	-	4	r	ioue	e	er	NOT FOUND	
mikroskładnik	+	-	4	k	ioai	i		NOT FOUND	
mikrosom	-	+	3	m	ioo	o		NOT FOUND	
mikrospektrofotometr	-	+	7	tr	ioeoooe	e		NOT FOUND	
mikrospis	-	+	3	s	ioi	i		"spis niewielkiej, wybranej grupy osób dla celów statystycznych"	
mikrostan	-	+	3	n	ioa	a		NOT FOUND	
mikrosystem	-	+	4	m	ioye	e		NOT FOUND	
mikroteatr	-	+	4	tr	ioea	a		NOT FOUND	
mikrotelefon	-	+	5	n	ioeeo	o		"część aparatu telefonicznego złożona z mikrofonu i słuchawki"	часть предмета
mikrotom	-	+	3	m	ioo	o		"przyrząd do cięcia materiału biologicznego na bardzo cienkie skrawki, z których sporządza się preparaty mikroskopowe"	артефакт
mikroton	-	+	3	n	ioo	o		NOT FOUND	
mikrotoponim	-	+	5	m	ioooi	i		"nazwa miejsca lub niewielkiego terenu"	
mikrotron	-	+	3	n	ioo	o		NOT FOUND	
mikroukład	-	+	4	d	ioua	a		NOT FOUND	
mikrowat	+	-	3	t	ioa	a		"jednostka mocy elektrycznej równa jednej milionowej wata"	единица измерения
mikrowolt	+	-	3	lt	ioo	o		"jednostka napięcia równa jednej milionowej wolta"	единица измерения
mikrowoltomierz	+	-	6	rz	ioooie	e		NOT FOUND	
mikrowstrząs	-	+	3	s	ioą	ą		NOT FOUND	
mikrowylew	-	+	4	w	ioye	e		NOT FOUND	
mikroślad	-	+	3	d	ioa	a		"mały ślad, często niedostrzegalny gołym okiem, stanowiący przedmiot badań w kryminalistyce"	артефакт
mikroświat	+	+	4	t	ioia	a		NOT FOUND	
